SURV,BASIN,SEGMENT,ZONE,DATE,TIME,STATION,SITE,LATDEC,LOEC,DEPTH,NOX-S,NOX-B,NO3_S,NO3_B,NO2-S,NO2-B,NH4-S,NH4-B,TN-S,TN-B,DIN-S,DIN-B,TON-S,TON-B,TP-S,TP-B,SRP-S,SRP-B,APA-S,APA-B,CHLA-S,CHLA-B,TOC-S,TOC-B,SiO2-S,SiO2-B,TURB-S,TURB-B,SAL-S,SAL-B,TEMP-S,TEMP-B,DO-S,DO-B,Kd,pH,TN:TP,N:P,DIN:TP,Si:DIN,%SAT-S,%SAT_B,%Io,DSIGT
43,FK,OFF,REEF,3/28/2006,12:00,263,Looe Key,24.5484,-81.3974,11,0.1719,0.0604,0.1634,0.0587,0.0085,0.0018,3.4756,2.5076,12.5923,13.1406,3.6476,2.568,8.9447,10.5726,0.254,0.3495,0.0669,0.0624,0.0471,0.058,0.27,,119.42,126.93,0.3433,0.9985,1.06,1.17,35.7,36.14,23.04,23.12,5.64,5.59,0.07,,49.57,54.511,14.359,0.094,80.693,80.346,44.528,0.31
44,FK,OFF,REEF,5/4/2006,8:29,263,Looe Key,24.5484,-81.3974,13,0.1359,0.1658,0.106,0.1282,0.0299,0.0377,2.1258,0.371,6.0788,6.1709,2.2617,0.5368,3.817,5.6341,0.2479,0.3063,0.0255,0.036,0.0524,0.099,0.22,,113.21,145.65,0.4837,4.1165,1.27,1.01,36.14,36.88,25.62,25.98,3.55,5.28,0.19,,24.524,88.845,9.125,0.213,52.457,78.64,8.961,0.423
45,FK,OFF,REEF,9/8/2006,9:00,263,Looe Key,24.5484,-81.3974,9,0.5195,0.2709,0.4784,0.2238,0.0411,0.0471,1.5475,0.4366,8.7091,7.7697,2.067,0.7076,6.642,7.0621,0.2576,0.2458,0.0227,0.0237,0.187,0.2075,,,126.63,118.15,1.98,0.7603,1.32,1.09,35.95,35.95,29.79,29.81,5.5,5.59,0.15,,33.811,91.09,8.025,0.954,84.102,85.508,24.893,-0.005
46,FK,OFF,REEF,12/13/2006,10:56,263,Looe Key,24.5484,-81.3974,14,0.2132,0.1535,0.1747,0.1128,0.0385,0.0406,1.2192,0.6165,7.7036,7.408,1.4324,0.77,6.2712,6.6381,0.2231,0.2425,0.0104,0.0104,0.0457,0.0679,0.13,,99.96,119.52,0.8511,6.5471,0.7,0.75,,,,,,,,,34.528,137.108,6.42,0.592,,,,
47,FK,OFF,REEF,2/22/2007,12:09,263,Looe Key,24.5484,-81.3974,14,0.5447,0.494,0.5159,0.4603,0.0288,0.0337,0.5735,1.8194,4.7561,4.2302,1.1182,2.3134,3.6379,1.9168,0.3732,0.3802,0.0106,0.1214,,,0.35,,124.05,111.04,3.2108,1.6693,0.65,0.6,35.68,36.08,22.41,22.1,3.48,4.33,0.15,,12.743,105.298,2.996,2.861,49.419,61.46,12.013,0.401
48,FK,OFF,REEF,6/14/2007,9:50,263,Looe Key,24.5484,-81.3974,14,0.1629,0.1062,0.1176,0.0666,0.0453,0.0396,3.1224,0.4991,13.9366,13.0207,3.2853,0.6053,10.6513,12.4154,0.1619,0.1642,0.0128,0.0089,,,0.13,,91.23,112.64,0.0121,0.0285,0.1,0.1,35.75,36.22,28.21,26.93,2.89,3.73,0.06,,86.094,256.976,20.295,0.004,43.589,55.867,42.625,0.835
49,FK,OFF,REEF,8/23/2007,11:19,263,Looe Key,24.5484,-81.3974,12,0.1873,0.1742,0.1467,0.1092,0.0406,0.065,0.4169,0.5209,10.2809,10.8171,0.6043,0.6951,9.6766,10.122,0.1068,0.1763,0.0371,0.239,,,0.15,,90.41,82.41,0.3021,0.326,0.06,0.08,36.05,36.27,29.98,30.01,5.42,5,0.01,,96.248,16.305,5.657,0.498,83.052,76.817,84.302,0.153
50,FK,OFF,REEF,10/25/2007,13:18,263,Looe Key,24.5484,-81.3974,12,0.3127,0.4236,0.2773,0.4029,0.0354,0.0208,0.049,0.0755,9.8247,9.7219,0.3617,0.4992,9.463,9.2227,0.1373,0.1391,0.023,0.0509,,,0.36,,81.03,81.32,0.7222,0.7545,0.22,0.27,35.89,35.97,28,28.23,5.84,5.84,0.04,,71.548,15.7,2.634,1.99,88.008,88.216,63.97,-0.031
51,FK,OFF,REEF,2/15/2008,,263,Looe Key,24.5484,-81.3974,14,0.1664,0.1747,0.143,0.1383,0.0234,0.0364,0.1556,0.1847,10.5458,11.9669,0.322,0.3594,10.2238,11.6074,0.1995,0.2165,0.0392,0.0495,,,0.19,,76.34,77.11,0.3647,0.504,,,,,,,,,,,52.851,8.219,1.614,1.129,,,,
52,FK,OFF,REEF,6/4/2008,12:00,263,Looe Key,24.5484,-81.3974,8.24,0.0628,0.2235,0.0403,0.1883,0.0226,0.0352,0.1043,0.1322,7.1276,7.9242,0.1671,0.3557,6.9605,7.5685,0.2458,0.2583,0.0598,0.0642,,,0.22,,95.48,90.33,0.1619,0.1807,0.39,0.86,36.85,36.9,28.74,28.54,6.28,6.3,0.04,,28.996,2.797,0.68,0.965,95.89,96.049,69.925,0.113
53,FK,OFF,REEF,8/12/2008,13:14,263,Looe Key,24.5484,-81.3974,9.62,0.0951,0.3879,0.0521,0.3386,0.043,0.0493,0.0662,0.1981,8.6732,6.7526,0.1613,0.586,8.512,6.1666,0.1963,0.203,0.0253,0.017,,,0.23,,87.85,83.7,0.0464,0.1103,0.27,0.48,36.23,36.25,29.87,29.49,6.19,6.23,0.03,,44.182,6.372,0.822,0.287,94.934,95.242,73.882,0.169
54,FK,OFF,REEF,12/6/2008,15:49,263,Looe Key,24.5484,-81.3974,8.91,0.1151,0.134,0.0914,0.1191,0.0237,0.0149,0.1629,0.1776,17.6535,16.2207,0.278,0.3116,17.3755,15.9091,0.1399,0.1424,0.0295,0.0342,,,0.39,,116.15,110.83,0.1866,0.1403,0.28,0.81,36.01,35.7,24.15,23.69,6.81,6.88,0.03,,126.148,9.432,1.987,0.669,99.003,99.247,74.592,-0.086
55,FK,OFF,REEF,2/12/2009,14:28,263,Looe Key,24.5484,-81.3974,9.35,0.0667,0.057,0.0365,,0.0301,0.057,0.3451,0.1988,12.5423,14.1595,0.4118,0.2559,12.1305,13.9036,0.156,0.1941,0.0304,0.0282,,,0.29,,99.03,123.78,0.6259,0.3686,1.2,5.14,36.39,36.38,22.72,20.76,6.97,7.22,0.15,,80.425,13.549,2.641,1.514,99.835,100.786,24.68,0.589
56,FK,OFF,REEF,5/12/2009,14:13,263,Looe Key,24.5484,-81.3974,8.84,0.0218,0.0348,0.0108,0.0183,0.0111,0.0165,0.0603,0.122,6.4415,5.2455,0.0821,0.1568,6.3594,5.0886,0.1421,0.1447,0.0136,0.0239,,,0.24,,84.14,87.74,0.1981,0.1936,0.17,0.42,36.53,36.11,27.83,27.26,6.39,6.46,0.05,,45.319,6.05,0.578,2.403,96.565,96.958,63.813,-0.098
57,FK,OFF,REEF,7/17/2009,12:58,263,Looe Key,24.5484,-81.3974,9.4,0.0613,0.4218,0.0463,0.3909,0.015,0.0309,0.0465,0.3737,17.3526,17.3764,0.1078,0.7955,17.2448,16.5809,0.2206,0.2302,0.0123,0.0129,,,0.17,,105.53,108.87,0.5058,1.0526,0.51,0.88,36.96,37.12,31.28,31.06,6.03,6.05,0.19,,78.679,8.798,0.489,4.674,93.771,93.981,16.064,0.209
58,FK,OFF,REEF,10/14/2009,11:20,263,Looe Key,24.5484,-81.3974,9.27,0.1017,0.137,0.0923,0.1119,0.0094,0.0252,0.0279,0.043,13.1782,13.4612,0.1295,0.1801,13.0486,13.2811,0.1105,0.114,0.0242,0.0444,,,0.19,,89.68,88.37,0.034,0.0563,0.39,0.58,35.66,35.66,29.63,29.6,6.23,6.24,0.11,,119.261,5.342,1.172,0.262,95.084,95.116,35.889,0.014
59,FK,OFF,REEF,3/8/2010,9:49,263,Looe Key,24.5484,-81.3974,7.96,0.188,0.1627,0.1443,0.1185,0.0438,0.0442,0.1766,0.0686,10.8997,10.6379,0.3647,0.2313,10.5351,10.4065,0.1633,0.1862,0.0311,0.0398,,,1.77,,101.65,94.61,0.0959,0.1514,0.65,0.93,36.34,36.34,19.7,19.71,7.36,7.36,0.18,,66.742,11.732,2.233,0.262,101.223,101.219,24.726,-0.003
60,FK,OFF,REEF,5/7/2010,11:28,263,Looe Key,24.5484,-81.3974,8.96,0.1468,0.166,0.1399,0.1552,0.0069,0.0108,0.1102,0.1506,25.5328,21.6061,0.257,0.3166,25.2757,21.2895,0.1308,0.2034,0.0335,0.0267,,,0.09,,75.23,73.6,0.016,0.1165,0.37,0.3,36.39,36.39,27.4,26.64,6.44,6.52,0.07,,195.145,7.663,1.964,0.062,96.871,97.42,52.513,0.286
61,FK,OFF,REEF,7/12/2010,12:44,263,Looe Key,24.5484,-81.3974,9.26,0.0926,0.0707,0.0405,0.0202,0.0521,0.0505,0.0321,0.0632,30.3103,26.6667,0.1247,0.1339,30.1856,26.5328,0.1185,0.1462,0.0399,0.0328,,,0.22,,94.42,141.38,0.391,4.0522,0.42,0.75,36.15,36.78,30.28,30.83,6.15,6.08,0,,255.831,3.125,1.053,3.123,94.578,94.158,96.03,0.239
62,FK,OFF,REEF,10/17/2010,12:44,263,Looe Key,24.5484,-81.3974,9.06,0.2361,0.0564,0.1677,0.0015,0.0684,0.0549,0.0562,0.1256,33.1687,29.0649,0.2923,0.1819,32.8763,28.883,0.1271,0.124,0.042,0.0306,,,0.19,,94.71,85.25,1.232,0.4529,0.05,0.3,35.25,35.59,26.5,26.62,6.58,6.55,0.18,,260.891,6.966,2.299,4.2,97.43,97.374,20.112,0.217
63,FK,OFF,REEF,1/28/2011,13:21,263,Looe Key,24.5484,-81.3974,14,0.1078,0.106,0.0733,0.0586,0.0345,0.0475,0.1391,0.0716,7.6848,8.7937,0.2468,0.1776,7.4379,8.6161,0.1293,0.1195,0.0312,0.0872,,,0.64,,221.17,219.29,2.3397,2.1976,2.02,2.08,36.24,36.24,20.72,20.71,7.23,7.23,0.17,,59.446,7.923,1.91,9.445,100.792,100.795,9.688,0
64,FK,OFF,REEF,4/13/2011,12:34,263,Looe Key,24.5484,-81.3974,14,0.2346,0.1034,0.1694,0.0502,0.0651,0.0532,0.2254,0.2051,37.342,39.1234,0.4599,0.3085,36.882,38.8149,0.1262,0.1322,0.0038,0.0452,,,0.59,,150.26,148.97,7.1196,6.8183,0.64,0.69,35.81,35.84,27.94,27.57,6.4,6.44,0.18,,295.891,122.31,3.644,15.424,96.43,96.709,7.866,0.164
65,FK,OFF,REEF,7/14/2011,13:05,263,Looe Key,24.5484,-81.3974,14,0.1113,0.0572,0.0585,0.0162,0.0528,0.041,0.2494,0.3479,7.3172,8.7035,0.3607,0.405,6.9565,8.2985,0.1232,0.1598,0.0391,0.0192,,,0.28,,112.35,107.43,1.591,1.3617,0,0,36.63,36.6,30.84,30.08,6.08,6.16,0.1,,59.374,9.224,2.927,4.395,94.136,94.777,24.228,0.296
66,FK,OFF,REEF,12/9/2011,11:50,263,Looe Key,24.5484,-81.3974,9.33,0.1348,0.1077,0.1057,0.0812,0.029,0.0265,0.0531,0.188,8.1211,5.7349,0.1878,0.2956,7.9333,5.4393,0.1309,0.1681,0.0431,0.0471,,,0.19,,2.1,,0.7382,0.901,0,0,35.92,35.93,25.12,24.49,6.7,6.78,0,,62.049,4.361,1.435,3.917,98.398,98.791,99.892,0.226
67,FK,OFF,REEF,3/29/2012,10:32,263,Looe Key,24.5484,-81.3974,9.33,0.1169,0.1156,0.1001,0.0976,0.0168,0.018,0.2127,0.0941,9.0393,9.0449,0.3297,0.2096,8.7096,8.8353,0.0991,0.1101,0.0317,0.0313,,,0.18,,76.95,78.57,0.0226,0.0099,0,0,36.15,36.14,24.67,24.67,6.75,6.75,0.16,,91.221,10.399,3.327,0.068,98.696,98.697,22.427,-0.001
68,FK,OFF,REEF,4/25/2012,10:43,263,Looe Key,24.5484,-81.3974,8.72,0.2393,0.0477,0.2005,0.0221,0.0388,0.0256,0.3669,0.8299,45.0664,18.8391,0.6062,0.8776,44.4602,17.9615,0.1823,0.1977,0.0463,0.046,,,0.04,,89.75,91.17,0.1236,0.1939,0,0,36.25,36.27,24.31,23.9,6.79,6.83,0.07,,247.149,13.107,3.324,0.203,98.928,99.171,56.629,0.151
69,FK,OFF,REEF,7/15/2012,12:36,263,Looe Key,24.5484,-81.3974,9.03,0.136,0.0371,0.1215,0.0153,0.0145,0.0219,0.5708,0.4258,7.7494,6.5406,0.7068,0.463,7.0427,6.0776,0.1495,0.163,0.0373,0.0173,,,0.78,,112.25,120.54,0.0265,0.0062,0.8,1.2,36.14,36.14,29.15,29.16,6.27,6.26,0.22,,51.853,18.948,4.729,0.037,95.513,95.505,13.137,-0.003
70,FK,OFF,REEF,11/27/2012,14:45,263,Looe Key,24.5484,-81.3974,8.7,0.1052,,0.0787,,0.0265,,0.5878,,8.0665,,0.693,,7.3735,,0.2733,,0.0072,,,,0.24,,160.46,,0.0141,,0,0,36.13,36.13,26.77,26.77,6.51,6.51,0.05,,29.52,96.244,2.536,0.02,97.31,97.309,66.266,0
71,FK,OFF,REEF,2/7/2013,12:33,263,Looe Key,24.5484,-81.3974,9.3,0.1542,,0.1164,,0.0378,,0.3211,,8.6424,,0.4753,,8.1671,,0.1548,,0.0636,,,,0.17,,142.42,,0.4217,,0,0.02,36.24,36.35,24.44,23.22,6.77,6.91,0.05,,55.823,7.475,3.07,0.884,98.849,99.564,60.2,0.49
72,FK,OFF,REEF,6/24/2013,14:00,263,Looe Key,24.5484,-81.3974,7.93,0.0302,0.0075,0.0231,,0.0071,0.0099,0.5639,0.2548,6.6335,7.0995,0.5941,0.2623,6.0394,6.8372,0.1354,0.1505,0.0245,0.0287,,,0.18,,113.58,118.83,0.1492,0.043,0,0.33,35.8,35.81,29.32,29.27,6.26,6.27,0.07,,49.01,24.276,4.389,0.25,95.35,95.391,55.262,0.023
73,FK,OFF,REEF,9/12/2013,11:51,263,Looe Key,24.5484,-81.3974,8.75,0.0567,0.0779,0.0425,0.0672,0.0142,0.0107,0.1718,0.1028,18.7119,12.9946,0.2285,0.1807,18.4834,12.8139,0.1143,0.1221,0.0361,0.0174,,,0.22,,113.92,113.04,0.0295,0.0306,0.06,0.02,35.44,35.72,29.58,29.49,6.25,6.25,1.29,,163.727,6.338,1.999,0.129,95.112,95.209,0.001,0.246
74,FK,OFF,REEF,12/3/2013,13:53,263,Looe Key,24.5484,-81.3974,8.75,0.0851,0.0786,0.08,0.0744,0.0051,0.0042,0.0717,0.1091,1.7444,1.5112,0.1568,0.1877,1.5876,1.3235,0.088,0.1398,0.0095,0.0137,,,0.09,,101.92,99.75,0.133,0.3046,0.04,0.13,36.09,36.08,26.76,26.02,6.52,6.6,0.12,,19.819,16.518,1.781,0.845,97.314,97.82,92.114,0.261
75,FK,OFF,REEF,2/24/2014,11:40,263,Looe Key,24.5484,-81.3974,8.75,0.0143,0.0222,0.0028,0.0084,0.0114,0.0138,0.4747,0.4605,7.4956,6.6823,0.4889,0.4827,7.0067,6.1996,0.2261,0.2038,0.0328,0.0174,,,0.27,,161.58,92.92,1.1109,0.3628,0.3,0.23,35.69,36.13,25.39,24.83,6.64,6.53,0.09,,33.152,14.908,2.163,2.264,97.557,95.658,93.516,0.529
76,FK,OFF,REEF,4/24/2014,14:52,263,Looe Key,24.5484,-81.3974,8.47,0.4974,0.4056,0.4461,0.36,0.0513,0.0456,0.5646,0.3803,2.8475,1.1548,1.062,0.7859,1.7855,0.3689,0.1886,0.2688,0.027,0.022,,,0.14,,105.33,118.13,0.2254,1.7386,0.01,,36.6,36.55,26.24,25.55,6.55,6.63,0.09,,15.098,39.359,5.631,0.211,97.713,98.169,46.99,0.211
77,FK,OFF,REEF,7/23/2014,13:24,263,Looe Key,24.5484,-81.3974,8.64,0.0646,0.1531,0.0541,0.1387,0.0105,0.0145,0.1779,0.2731,8.0713,8.0713,0.2424,0.4262,7.8289,7.6451,0.2828,0.2911,0.0334,0.0616,,,0.18,,97.33,97.92,0.0264,0.0363,0.05,0.15,36.45,36.44,30.3,30.19,6.14,6.15,0.06,,28.541,7.26,0.857,0.109,94.582,94.681,57.942,0.044
78,FK,OFF,REEF,11/15/2014,14:47,263,Looe Key,24.5484,-81.3974,9.47,0.1636,0.2821,0.1463,0.2619,0.0173,0.0202,0.5437,0.4968,8.2444,6.2901,0.7073,0.7789,7.5371,5.5112,0.1895,0.1322,0.0788,0.0039,,,0.4,,109.67,106.42,0.014,0.0598,0.24,0.43,35.94,35.93,25.74,25.69,6.63,6.64,0.15,,43.497,8.976,3.732,0.02,97.997,98.03,24.372,0.016
79,FK,OFF,REEF,2/24/2015,14:58:00,263,Looe Key,24.5484,-81.3974,10.05,0.0853,0.3059,0.0757,0.281,0.0096,0.0249,0.28,0.291,4.0438,4.0489,0.3653,0.5969,3.6785,3.452,0.2657,0.2727,0.0226,0.0115,,,0.15,,84.58,85,0.0689,0.0344,0.14,0.19,36.39,36.16,23.62,21.98,6.86,7.07,0.1,,15.219,16.163,1.375,0.188,99.341,100.199,34.902,0.349
80,FK,OFF,REEF,6/2/2015,11:59:00,263,Looe Key,24.5484,-81.3974,8.41,0.0266,0.0259,0.0265,0.0235,0.0001,0.0024,0.0648,0.0604,4.6258,4.4612,0.0914,0.0863,4.5344,4.3749,0.1663,0.1924,0.0155,0.0308,,,0.23,,82.63,82.73,0.2667,0.175,,,36.4,36.39,27.76,27.76,6.4,6.4,0.02,,27.816,5.897,0.55,2.908,96.607,96.605,86.746,-0.001
81,FK,OFF,REEF,9/17/2015,14:12:00,263,Looe Key,24.5484,-81.3974,8.6,0.009,0.048,,0.028,0.01,0.02,0.06,0.228,7.3727,7.3727,0.07,0.276,7.3027,7.0967,0.1277,0.1413,0.012,0.014,,,0.26,,108.17,112.75,0.0645,1.1834,0.01,0.22,34.56,35.29,30.54,30.59,6.18,6.15,0.01,,57.726,5.833,0.548,0.918,94.249,94.257,91.513,0.517
82,FK,OFF,REEF,12/10/2015,12:58:56,263,Looe Key,24.5484,-81.3974,10.77,0.1482,0.1538,0.1088,0.1048,0.0394,0.049,0.2412,0.3192,4.3946,4.5469,0.3894,0.473,4.0052,4.0739,0.2129,0.2125,0.0041,0.0036,,,0.07,,83.13,81.19,2.0037,1.9341,0.25,0.22,35.31,35.3,25.31,25.26,6.71,6.71,0.14,,20.638,94.152,1.829,5.128,98.234,98.262,23.072,0.007
83,FK,OFF,REEF,3/15/2016,14:24:33,263,Looe Key,24.5484,-81.3974,8.39,0.059,0.063,0.045,0.037,0.014,0.026,0.21,0.226,7.0189,6.2248,0.269,0.289,6.7499,5.9358,0.1717,0.1918,0.008,0.003,,,0.16,,99.08,98.17,1.3907,0.6768,0.27,0.22,36.1,36.21,25.89,25.17,6.61,6.69,0.16,,40.879,33.625,1.567,5.17,97.91,98.388,26.432,0.333
84,FK,OFF,REEF,6/13/2016,13:34:13,263,Looe Key,24.5484,-81.3974,9.11,0.777,0.787,0.698,0.748,0.079,0.039,0.667,0.469,12.6236,9.2269,1.444,1.256,11.1796,7.9709,0.3591,0.3708,0.006,0.02,,,0.27,,154,95.67,4.3063,0.8241,0.17,0.21,35.98,36.15,30.18,27.46,6.17,6.44,0.08,,35.156,240.667,4.021,2.982,94.65,96.812,48.212,1.201
85,FK,OFF,REEF,9/28/2016,13:09:17,263,Looe Key,24.5484,-81.3974,9.4,1.035,0.397,0.991,0.3633,0.044,0.0337,0.3263,0.3509,13.4375,10.2414,1.3613,0.7479,12.0762,9.4936,0.18,0.16,0.0306,0.0211,,,0.41,,103.83,102.33,0.671,1.471,0.08,0.1,35.36,35.71,29.82,30.08,6.23,6.19,0.12,,74.653,44.515,7.563,0.493,94.975,94.746,32.107,0.153
86,FK,OFF,REEF,11/22/2016,11:50:51,263,Looe Key,24.5484,-81.3974,7.57,0.045,0.428,0.0455,0.4276,-0.0005,0.0004,0.428,1.5105,5.2567,7.2435,0.473,1.9385,4.7837,5.305,0.192,0.252,0.004,0.004,,,0.16,,86.92,90.92,0.15,1.16,0.22,0.13,36.27,36.56,26.48,24.74,6.54,6.72,0.1,,27.379,118.25,2.464,0.317,97.516,98.626,45.246,0.834
87,FK,OFF,REEF,3/3/2017,10:05:52,263,Looe Key,24.5484,-81.3974,8.39,0.2623,0.3207,0.2209,0.282,0.0415,0.0387,0.2438,0.249,11.0939,11.2458,0.5061,0.5697,10.5878,10.6761,0.176,0.204,0.0206,0.0206,,,0.37,,144.92,136.58,3.699,3.286,0.21,0.27,36.07,36.19,25.45,25.23,6.66,6.68,0.22,,63.033,24.522,2.876,7.308,98.17,98.317,19.152,0.167
88,FK,OFF,REEF,5/9/2017,12:38,263,Looe Key,24.5484,-81.3974,8.39,0.0492,0.2228,0.0376,0.205,0.0116,0.0178,0.1633,0.1004,7.8086,9.3285,0.2124,0.3233,7.5962,9.0052,0.1825,0.1592,0,0.0139,,,0.22,,72.56,84.92,0.621,0.666,0.74,8.91,36.6,36.63,27.31,26.89,6.44,6.48,0.08,,42.78,,1.164,2.923,96.951,97.256,54.535,0.178
89,FK,OFF,REEF,9/5/2017,12:53,263,Looe Key,24.5484,-81.3974,8.39,0.2067,0.1234,0.1918,0.1081,0.0149,0.0153,0.0708,0.1052,6.5483,6.7913,0.2775,0.2286,6.2708,6.5627,0.1862,0.177,0.0118,0.032,,,0.27,,108.42,101.58,0.057,0.06,0.12,0.19,35.57,35.59,30.51,30.5,6.15,6.15,0.06,,35.159,23.594,1.49,0.205,94.341,94.353,65.262,0.018
90,FK,OFF,REEF,12/14/2017,11:32,263,Looe Key,24.5484,-81.3974,8.39,0.2807,0.1102,0.2024,0.0831,0.0783,0.027,0.1545,0.0857,10.9072,10.9568,1.379,1.755,10.5957,9.1055,0.2099,0.1812,0.0595,0.0212,,,0.57,,144,116,2.45,1.417,0.29,0.28,34.77,35.57,22.33,23.68,7.09,6.89,0.21,,51.967,23.191,6.57,1.777,99.918,99.247,20.645,0.172
91,FK,OFF,REEF,3/20/2018,14:30,263,Looe Key,24.5484,-81.3974,7.72,0.237,0.318,0.201,0.275,0.036,0.043,0.326,0.173,9.0051,7.1771,0.563,0.491,8.4421,6.6861,0.19,0.199,0.001,0.013,,,0.35,,91.92,83.83,0.071,0.054,0.48,0.95,36.27,36.27,25.15,24.8,6.69,6.73,0.13,,47.333,562.253,2.959,0.126,98.408,98.628,37.437,0.123
92,FK,OFF,REEF,6/9/2018,17:16,263,Looe Key,24.5484,-81.3974,9.01,,,0.001,,-0.001,0.015,0.117,0.19,9.4969,7.8642,0.117,0.19,9.3799,7.6742,0.2128,0.1866,,,,,0.36,,117,108.5,,,0.23,0.67,36.17,36.25,29.07,28.38,6.27,6.34,0.08,,44.562,,0.549,,95.574,96.122,49.822,0.33
93,FK,OFF,REEF,9/13/2018,10:56,263,Looe Key,24.5484,-81.3974,9.09,0.106,0.14,0.098,0.105,0.008,0.035,1.144,0.201,6.9769,6.6206,1.25,0.341,5.7269,6.2796,0.175,0.205,-0.001,,,,0.25,,105,125.17,,1.056,0.2,0.38,35.77,36.21,29.55,29.55,6.24,6.22,0.16,,39.815,1248.341,7.133,,95.162,95.191,23.596,0.325
94,FK,OFF,REEF,11/29/2018,10:07,263,Looe Key,24.5484,-81.3974,,0.044,0.113,0.009,0.06,0.035,0.053,0.115,0.123,5.8169,7.9014,0.159,0.236,5.6579,7.6654,0.147,0.165,0.02,0.023,,,0.58,,86.58,107.58,0.377,1.133,0.11,0.73,37.16,,,,,,,,39.519,7.939,1.08,2.365,,,,
95,FK,OFF,REEF,2/29/2019,0.428472222,263,Looe Key,24.5484,-81.3974,9.52,0.056,0.063,0.052,0.063,0.004,,,,7.6851,7.4487,,,,,0.166,0.174,0.002,0.002,,,0.4,,87.42,89.42,0.405,0.385,0.47,0.44,36.22,36.2,25.83,25.7,6.61,6.63,0.12,,46.234,,,,97.957,98.043,31.648,0.034
96,FK,OFF,REEF,5/29/2019,0.429861111,263,Looe Key,24.5484,-81.3974,9.93,0.007,0.05,0.007,,,,0.097,0.033,7.7919,7.7194,0.104,0.083,7.6879,7.6364,0.18,0.171,0.01,0.006,,,0.36,,90.25,91.75,,,0.11,0.15,36.53,36.54,27.7,27.7,6.4,6.4,0.19,,43.231,10.386,0.577,,96.665,96.666,15.879,0.007
97,FK,OFF,REEF,9/26/2019,0.488888889,263,Looe Key,24.5484,-81.3974,13.54,0.064,,0.065,,,,0.16,,9.2857,8.5714,0.224,,9.0617,,0.185,0.188,,,,,0.38,,98.42,90.33,0.429,0.353,0.52,0.39,35.55,35.54,28.38,28.31,6.36,6.37,0.11,,50.126,,1.209,1.91,96.077,96.125,21.52,0.019
98,FK,OFF,REEF,1/29/2020,0.409722222,263,Looe Key,24.5484,-81.3974,9.36,0.242,,0.196,,0.046,,0.336,,4.2857,3.5714,0.578,,3.7077,,0.149,0.168,0.038,0.002,,,0.26,,101.08,77.68,,0.071,0,0,36.41,36.37,25.33,23.91,6.66,6.83,0.08,,28.725,15.19,3.874,,98.303,99.173,48.282,0.463
1,FK,OFF,REEF,3/23/1995,,267,American Shoal,24.5301,-81.4873,10,0.0675,0.4877,0.0175,0.4127,0.05,0.075,1.078,1.7333,7.8977,10.2966,1.1455,2.2211,6.7522,8.0755,0.1274,0.1024,0.0025,0.025,0.0404,0.0141,0.16,,300.91,280.08,,,0.29,0.81,35.8,35.8,24.6,24.6,6.8,6.7,0.27,,61.995,458.607,8.992,,99.161,97.703,6.865,0
2,FK,OFF,REEF,7/28/1995,,267,American Shoal,24.5301,-81.4873,6.5,0.07,0.2176,0.035,0.1901,0.035,0.0275,0.4027,0.3352,12.9295,15.0082,0.4727,0.5528,12.4567,14.4554,0.1274,0.1149,0.005,0.005,0.0307,0.0248,0.28,,194.34,185.71,,,0.53,0.53,35.9,36.1,29.9,29.9,6.2,6.2,0.2,,101.493,94.625,3.711,,94.891,95.01,27.592,0.148
3,FK,OFF,REEF,12/10/1995,,267,American Shoal,24.5301,-81.4873,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,FK,OFF,REEF,5/28/1996,,267,American Shoal,24.5301,-81.4873,8.5,0.065,0.1576,,,0.065,0.04,0.3577,0.2676,16.8781,14.2268,0.4227,0.4252,16.4554,13.8016,0.1649,0.1798,,0.0075,0.06,0.06,0.23,,187.8,173.28,0.5104,0.3141,0.14,0.19,36.4,36.4,28.5,27.1,6.1,6.4,0.14,,102.378,,2.564,1.203,92.664,96.06,30.265,0.536
5,FK,OFF,REEF,7/10/1996,,267,American Shoal,24.5301,-81.4873,11,0.0275,0.035,,,0.0275,0.035,0.1551,0.1576,13.8116,11.8426,0.1826,0.1926,13.629,11.65,0.1773,0.1699,0.0075,0.01,0.3701,0.3788,0.9,,132.37,135.93,,,0.45,0.55,36.6,36.5,31,30,5.4,4.9,0.27,,77.878,24.366,1.03,,83.623,75.329,5.402,0.344
6,FK,OFF,REEF,12/4/1996,,267,American Shoal,24.5301,-81.4873,10,0.015,0.0425,,,0.015,0.0425,0.3302,0.3777,8.062,7.2422,0.3452,0.4202,7.7168,6.822,0.1649,0.1848,0.03,0.025,0.021,0.0261,0.54,,205.58,228.6,0.9095,0.8731,0.6,0.61,36.3,36.4,25.5,24.7,5.7,6.3,0.18,,48.902,11.515,2.094,2.626,84.187,92.327,17.165,0.353
7,FK,OFF,REEF,4/2/1997,12:17,267,American Shoal,24.5301,-81.4873,6.5,0.035,0.085,,,0.035,0.035,0.2451,0.2726,9.0207,7.8507,0.2801,0.3577,8.7405,7.4931,0.1324,0.1374,,,0.02,0.02,0.1,,199.53,192,0.0727,,0.13,0.07,36.1,36.2,25.6,25.5,6.3,6.5,0.23,,68.138,,2.116,0.259,93.025,95.941,22.571,0.11
